Group ID,Participant ID,Speaking Cluster,Loc Cluster,Gaze Cluster
123,1,1,1,1
123,2,2,0,0
123,3,1,0,1
123,4,2,0,1
Oct1010,5,1,1,1
Oct1010,6,0,3,0
Oct1010,7,0,0,1
Oct1010,8,2,1,1
Oct1011,9,2,2,2
Oct1011,10,2,2,2
Oct1011,11,1,2,2
Oct1011,12,0,2,2
Oct1112,13,2,1,1
Oct1112,14,1,3,1
Oct1112,15,0,2,1
Oct1112,16,2,3,1
Oct1413,17,1,0,0
Oct1413,18,2,0,0
Oct1413,19,1,0,0
Oct1413,20,2,0,0
Oct1518,21,2,1,0
Oct1518,22,2,0,0
Oct1518,23,2,0,0
Oct1518,24,1,0,1
Oct812,25,2,1,1
Oct812,26,1,3,0
Oct812,27,1,1,1
Oct812,28,2,1,2
Oct817,29,2,3,1
Oct817,30,2,3,0
Oct817,31,1,3,1
Oct817,32,2,1,1
Oct910,33,2,1,1
Oct910,34,0,3,1
Oct910,35,2,1,1
Oct910,36,2,3,1
Oct911,37,1,0,0
Oct911,38,1,0,0
Oct911,39,1,0,0
Oct911,40,1,0,0
Oct917,41,0,1,0
Oct917,42,1,0,0
Oct917,43,2,1,0
Oct917,44,1,1,0
Oct99,45,2,3,1
Oct99,46,2,0,0
Oct99,47,2,0,1
Oct99,48,0,3,0
